timestamp_utc,guild_id,guild_name,user_id,username,created_at_utc,joined_at_utc,account_age_days,has_avatar,suspicion_score,reasons,action_taken
2026-02-10T10:01:00+00:00,1465610000000000000,BeFuzzy,846422000000000001,arun_venkat,2021-03-12T11:20:00+00:00,2026-02-10T09:55:00+00:00,1796,1,2,normal_user,none
2026-02-10T10:01:01+00:00,1465610000000000000,BeFuzzy,846422000000000002,subha_s,2020-07-01T06:10:00+00:00,2026-02-10T09:40:00+00:00,2049,1,3,normal_user,none
2026-02-10T10:01:02+00:00,1465610000000000000,BeFuzzy,846422000000000003,priya_k,2022-11-14T15:00:00+00:00,2026-02-10T09:35:00+00:00,1183,1,1,normal_user,none
2026-02-10T10:01:03+00:00,1465610000000000000,BeFuzzy,846422000000000004,keerthi.dev,2019-05-09T12:30:00+00:00,2026-02-10T09:10:00+00:00,2469,1,4,normal_user,none
2026-02-10T10:01:04+00:00,1465610000000000000,BeFuzzy,846422000000000005,vishal_m,2023-08-21T09:00:00+00:00,2026-02-10T09:05:00+00:00,904,1,5,normal_user,none
2026-02-10T10:02:00+00:00,1465610000000000000,BeFuzzy,846422000000000101,user48392011,2026-02-09T10:01:00+00:00,2026-02-09T10:01:30+00:00,1,0,16,no_custom_avatar,none
2026-02-10T10:02:01+00:00,1465610000000000000,BeFuzzy,846422000000000102,freeNitro991827,2026-02-10T09:59:00+00:00,2026-02-10T09:59:20+00:00,0,0,18,join_gap_under_60s,none
2026-02-10T10:02:02+00:00,1465610000000000000,BeFuzzy,846422000000000103,discordpromo778899,2026-02-10T09:45:00+00:00,2026-02-10T09:45:40+00:00,0,0,15,too_new_many_digits,none
2026-02-10T10:02:03+00:00,1465610000000000000,BeFuzzy,846422000000000104,giftcard000111,2026-02-10T08:30:00+00:00,2026-02-10T08:30:10+00:00,0,0,20,instant_join_no_avatar,none
2026-02-10T10:02:04+00:00,1465610000000000000,BeFuzzy,846422000000000105,bot_55331122,2026-02-08T12:00:00+00:00,2026-02-08T12:00:50+00:00,2,0,14,new_account,none
2026-02-10T10:03:00+00:00,1465610000000000000,BeFuzzy,846422000000000201,meena_s,2024-01-10T09:00:00+00:00,2026-02-10T09:00:00+00:00,762,1,6,normal_user,none
2026-02-10T10:03:01+00:00,1465610000000000000,BeFuzzy,846422000000000202,siva_kumar,2021-12-05T14:00:00+00:00,2026-02-10T08:55:00+00:00,1528,1,3,normal_user,none
2026-02-10T10:03:02+00:00,1465610000000000000,BeFuzzy,846422000000000203,pranesh,2022-06-22T10:20:00+00:00,2026-02-10T08:40:00+00:00,1330,1,2,normal_user,none
2026-02-10T10:03:03+00:00,1465610000000000000,BeFuzzy,846422000000000204,rahul_07,2020-03-15T07:10:00+00:00,2026-02-10T08:35:00+00:00,2157,1,4,normal_user,none
2026-02-10T10:03:04+00:00,1465610000000000000,BeFuzzy,846422000000000205,sneha_r,2018-09-19T06:00:00+00:00,2026-02-10T08:30:00+00:00,2701,1,1,normal_user,none
