timestamp_utc,guild_id,guild_name,user_id,username,created_at_utc,joined_at_utc,account_age_days,has_avatar,suspicion_score,reasons,action_taken,label
2026-02-10T10:00:00+00:00,1465610000000000000,BeFuzzy,900000000000000001,arun_venkat,2020-05-10T08:00:00+00:00,2026-02-10T09:00:00+00:00,2100,1,2,normal_user,none,0
2026-02-10T10:00:01+00:00,1465610000000000000,BeFuzzy,900000000000000002,priya_k,2019-07-12T10:00:00+00:00,2026-02-10T08:55:00+00:00,2400,1,3,normal_user,none,0
2026-02-10T10:00:02+00:00,1465610000000000000,BeFuzzy,900000000000000003,keerthi.dev,2021-01-15T12:00:00+00:00,2026-02-10T08:50:00+00:00,1850,1,4,normal_user,none,0
2026-02-10T10:00:03+00:00,1465610000000000000,BeFuzzy,900000000000000004,siva_kumar,2018-03-21T09:00:00+00:00,2026-02-10T08:45:00+00:00,2800,1,1,normal_user,none,0
2026-02-10T10:00:04+00:00,1465610000000000000,BeFuzzy,900000000000000005,meena_s,2022-02-11T14:00:00+00:00,2026-02-10T08:40:00+00:00,1460,1,5,normal_user,none,0
2026-02-10T10:00:05+00:00,1465610000000000000,BeFuzzy,900000000000000006,vishal_m,2021-09-10T07:00:00+00:00,2026-02-10T08:35:00+00:00,1600,1,3,normal_user,none,0
2026-02-10T10:00:06+00:00,1465610000000000000,BeFuzzy,900000000000000007,pranesh,2020-11-01T11:00:00+00:00,2026-02-10T08:30:00+00:00,1900,1,2,normal_user,none,0
2026-02-10T10:00:07+00:00,1465610000000000000,BeFuzzy,900000000000000008,sneha_r,2019-04-19T06:00:00+00:00,2026-02-10T08:25:00+00:00,2500,1,3,normal_user,none,0
2026-02-10T10:00:08+00:00,1465610000000000000,BeFuzzy,900000000000000009,rahul_07,2021-12-05T05:00:00+00:00,2026-02-10T08:20:00+00:00,1500,1,4,normal_user,none,0
2026-02-10T10:00:09+00:00,1465610000000000000,BeFuzzy,900000000000000010,divya_raj,2020-08-08T09:00:00+00:00,2026-02-10T08:15:00+00:00,2000,1,2,normal_user,none,0
2026-02-10T10:01:00+00:00,1465610000000000000,BeFuzzy,900000000000000101,freeNitro998877,2026-02-09T09:59:00+00:00,2026-02-09T09:59:20+00:00,1,0,18,instant_join_no_avatar,none,1
2026-02-10T10:01:01+00:00,1465610000000000000,BeFuzzy,900000000000000102,discordpromo445566,2026-02-10T08:30:00+00:00,2026-02-10T08:30:40+00:00,0,0,20,too_new,none,1
2026-02-10T10:01:02+00:00,1465610000000000000,BeFuzzy,900000000000000103,giftcard000111,2026-02-10T07:50:00+00:00,2026-02-10T07:50:30+00:00,0,0,22,new_account_spam,none,1
2026-02-10T10:01:03+00:00,1465610000000000000,BeFuzzy,900000000000000104,steamdrop777888,2026-02-10T06:20:00+00:00,2026-02-10T06:20:10+00:00,0,0,19,bot_pattern,none,1
2026-02-10T10:01:04+00:00,1465610000000000000,BeFuzzy,900000000000000105,user99988877,2026-02-08T12:00:00+00:00,2026-02-08T12:00:50+00:00,2,0,15,new_account,none,1
2026-02-10T10:01:05+00:00,1465610000000000000,BeFuzzy,900000000000000106,cryptoAirdrop555,2026-02-10T09:40:00+00:00,2026-02-10T09:40:25+00:00,0,0,21,crypto_spam,none,1
2026-02-10T10:01:06+00:00,1465610000000000000,BeFuzzy,900000000000000107,bot_44332211,2026-02-07T08:00:00+00:00,2026-02-07T08:00:45+00:00,3,0,16,bot_pattern,none,1
2026-02-10T10:01:07+00:00,1465610000000000000,BeFuzzy,900000000000000108,claimReward222333,2026-02-10T09:00:00+00:00,2026-02-10T09:00:35+00:00,0,0,23,instant_spam,none,1
2026-02-10T10:01:08+00:00,1465610000000000000,BeFuzzy,900000000000000109,freeGift111222,2026-02-09T10:10:00+00:00,2026-02-09T10:10:40+00:00,1,0,17,new_account,none,1
2026-02-10T10:01:09+00:00,1465610000000000000,BeFuzzy,900000000000000110,nitroDrop444555,2026-02-10T08:10:00+00:00,2026-02-10T08:10:20+00:00,0,0,20,spam_bot,none,1
